source,target,weight,shared_events
529,530,9.7232,37
426,991,8.2205,19
2,966,6.6965,31
530,531,5.7766,24
1038,789,5.3887,24
2,17027,5.3443,33
50,51,5.3333,6
55,426,4.9423,20
530,532,4.8239,20
2,3737,4.4051,14
530,304,4.2421,14
4825,789,3.9964,12
2,789,3.8876,20
5753,343,3.8667,7
529,531,3.7202,21
529,532,3.5517,17
303,305,3.5269,6
529,303,3.465,8
549,622,3.4041,11
17027,789,3.1035,17
530,1291,2.7847,14
2138,966,2.7827,9
529,1291,2.6729,15
530,4506,2.5942,12
622,712,2.4338,5
789,4575,2.3898,11
1185,1296,2.3333,3
1024,426,2.2991,8
530,5777,2.2704,12
10393,426,2.2464,9
2820,966,2.2198,4
712,303,2.1667,3
622,10393,2.1583,5
529,304,2.1302,12
531,4021,2.125,6
531,1291,2.0932,12
529,4506,2.0878,11
1810,303,2.0769,3
55,2348,2.04,3
26,4021,2.0167,5
1291,344,2.0167,8
329,991,2.0,2
1182,991,2.0,3
1632,789,1.9554,8
529,344,1.9489,5
549,55,1.8992,7
3955,426,1.8281,8
26,2294,1.8056,5
3608,966,1.8032,6
531,5777,1.7885,10
532,1291,1.754,6
789,2381,1.7269,10
530,763,1.7262,7
530,1240,1.7136,5
55,622,1.6983,5
531,532,1.6809,11
549,991,1.6788,9
174,343,1.6667,3
622,3531,1.6524,5
35,1199,1.6422,4
17027,966,1.6317,14
3608,1787,1.6141,14
343,344,1.5833,3
529,5777,1.5728,11
50,622,1.5588,4
529,7108,1.5568,8
2160,10393,1.5026,4
3608,1622,1.4916,12
3531,991,1.4698,6
549,426,1.4262,8
4363,966,1.4242,5
2638,991,1.4065,5
2,1787,1.4026,13
789,3535,1.4004,5
683,344,1.4,5
683,1291,1.4,5
530,7108,1.3901,8
1038,1632,1.372,6
55,991,1.3581,10
1265,991,1.35,4
584,1265,1.3333,2
683,305,1.3333,2
683,1810,1.3222,4
532,3318,1.313,4
2,3608,1.2972,13
1265,329,1.2833,3
1427,966,1.2505,4
763,343,1.25,3
622,2160,1.25,2
1622,1787,1.2061,11
55,1451,1.1917,4
2,1622,1.1754,12
789,966,1.1658,6
531,763,1.1429,5
2,1710,1.1429,4
531,7108,1.1401,7
586,789,1.1331,6
531,4506,1.1123,7
1038,2381,1.1117,3
549,986,1.104,8
2,4825,1.0857,5
10393,1265,1.0833,3
5777,1683,1.0769,2
3839,426,1.0769,4
5777,7108,1.0687,6
966,5111,1.0625,2
2,1427,1.0438,8
6353,789,1.0208,2
55,893,1.0148,8
3608,789,1.004,6
50,4021,1.0,1
51,3531,1.0,1
1796,2871,1.0,1
2640,1265,1.0,1
2638,683,1.0,1
6193,652,1.0,1
50,276,1.0,1
549,50,1.0,1
4097,343,1.0,1
3699,763,1.0,1
2,2336,1.0,2
1265,960,1.0,1
1860,3569,1.0,1
1860,1362,1.0,1
1182,1800,1.0,1
1185,303,1.0,1
4021,480,1.0,1
531,304,0.9817,7
55,2640,0.9797,6
1291,343,0.9769,9
4506,3545,0.9767,5
763,1291,0.9762,4
4,6403,0.975,7
549,72,0.9647,7
529,1240,0.9636,5
532,304,0.9444,6
532,4506,0.9444,5
2,2820,0.9222,6
530,51,0.8929,3
303,304,0.8881,4
531,1240,0.881,4
2160,1265,0.8769,5
966,4575,0.8572,6
206,1800,0.8526,4
1544,4682,0.8333,2
763,1860,0.8333,3
584,1451,0.8333,2
303,3531,0.8266,5
529,622,0.8255,5
2,1038,0.8222,8
1199,426,0.8167,4
1038,17027,0.8032,7
3608,1710,0.7917,3
206,991,0.7907,4
4506,7108,0.7854,5
2611,966,0.781,4
1787,4575,0.7783,9
1796,304,0.7778,3
3973,426,0.7769,5
1291,1860,0.7727,5
3608,2611,0.7714,4
3608,2607,0.7689,7
1265,1451,0.7667,4
1291,4506,0.7544,6
3955,946,0.75,2
1710,1984,0.75,2
70,72,0.7429,4
2638,426,0.7413,6
2640,893,0.7361,4
530,1063,0.7361,4
622,426,0.7333,3
738,303,0.7193,3
3608,4575,0.7049,8
2,1984,0.7,3
549,712,0.6964,3
1800,991,0.6955,3
5777,4506,0.6711,6
530,303,0.6698,4
1038,3608,0.6674,5
683,959,0.6667,2
1024,1677,0.6667,2
26,991,0.6667,2
26,3531,0.6667,2
1677,426,0.6667,2
549,206,0.6554,5
2,960,0.6468,4
1038,4575,0.6437,5
529,51,0.6429,2
3737,966,0.6416,6
55,10393,0.6407,5
529,706,0.6283,4
55,3973,0.6269,5
3955,3531,0.625,2
305,4494,0.6167,3
3955,991,0.6126,4
532,1063,0.6111,2
2,2607,0.6022,6
1683,1291,0.5997,5
1787,789,0.5933,6
2,586,0.5922,3
530,2433,0.5909,2
1038,530,0.5909,2
1063,50,0.5833,2
763,4506,0.5833,2
1265,426,0.5714,3
35,4682,0.5714,3
134,966,0.5625,2
532,763,0.5595,3
6193,622,0.5526,2
55,1800,0.5526,2
14480,276,0.5526,2
35,1182,0.5476,2
9253,893,0.5458,4
622,303,0.5383,4
5645,3955,0.5357,3
530,622,0.535,4
530,26,0.5278,3
652,991,0.5269,3
2213,966,0.5254,6
17027,3737,0.5242,5
2,2138,0.5203,6
3608,2138,0.5195,5
2,1451,0.5194,5
531,3545,0.5087,4
652,426,0.5061,4
55,3955,0.5055,4
529,26,0.504,3
529,1796,0.5033,3
531,1860,0.5,2
1024,3955,0.5,1
35,991,0.5,1
1024,3839,0.5,1
426,960,0.5,1
549,7108,0.5,1
613,622,0.5,1
1800,1451,0.5,1
531,1265,0.5,2
5753,344,0.5,1
530,1860,0.5,2
1683,1362,0.5,1
303,329,0.5,1
946,3531,0.5,1
712,7108,0.5,1
26,1796,0.5,4
529,2433,0.5,1
2381,920,0.5,1
1622,395,0.495,5
426,946,0.4881,3
529,549,0.4881,4
35,1265,0.4881,3
2138,2213,0.487,6
2213,1787,0.4858,6
3592,991,0.4857,3
531,6430,0.4844,4
5777,1291,0.4806,5
1291,3545,0.4767,4
529,712,0.4755,3
55,966,0.4737,4
55,3737,0.4737,4
17027,4575,0.4692,6
530,706,0.4616,4
532,706,0.4616,4
2374,2381,0.4606,3
532,4021,0.4583,2
529,4707,0.4583,3
530,4707,0.4583,3
532,4707,0.4583,3
134,1427,0.4554,3
622,738,0.4526,3
55,329,0.4503,3
530,966,0.45,2
55,584,0.45,2
2820,1885,0.45,2
549,303,0.4492,4
70,1451,0.4422,4
652,1314,0.4338,3
1240,4021,0.4333,2
2138,1787,0.4266,4
1038,586,0.4242,2
532,5777,0.4206,3
2,6207,0.4179,4
304,4506,0.4167,2
70,893,0.4167,2
5777,304,0.4167,2
763,304,0.4167,2
531,4494,0.4167,2
549,2638,0.4147,4
3737,960,0.4107,3
55,652,0.4103,2
1240,304,0.4048,2
2,4575,0.4043,7
2,7069,0.4029,6
2640,426,0.4028,3
