id,label,name_cyrillic,community_id,community,degree,viaf_id,wikidata_id
2,Aleksandr Skidan,Александр Скидан,0,Experimental / avant-garde poetry,599,261306934,Q4421850
1038,Roman Osminkin,Роман Осминкин,0,Experimental / avant-garde poetry,494,305917854,
17027,Dmitriĭ Holynko-Volʹfson,Дмитрий Голынко-Вольфсон,0,Experimental / avant-garde poetry,358,248082430,Q116760985
966,Arkadiĭ Dragomoshchenko,Аркадий Драгомощенко,0,Experimental / avant-garde poetry,306,248480763,Q1960905
789,Pavel Arsenʹev,Павел Арсеньев,0,Experimental / avant-garde poetry,297,308244506,Q4070039
1622,Konstantin Shavlovskiĭ,Константин Шавловский,0,Experimental / avant-garde poetry,285,'6887154260356224778240',Q4519232
3608,Halina Rymbu,Галина Рымбу,0,Experimental / avant-garde poetry,235,'31169174362756079616',Q62713307
2381,Natalʹi͡a Fedorova,Наталья Федорова,0,Experimental / avant-garde poetry,203,'180147905064779087872',
395,Vasiliĭ Stepanov,Василий Степанов,0,Experimental / avant-garde poetry,160,'7787151778235718565888',Q4441789
1787,Elena Kostyleva,Елена Костылева,0,Experimental / avant-garde poetry,149,'4712171191117057884160',
4575,Nikita Sungatov,Никита Сунгатов,0,Experimental / avant-garde poetry,142,'97148207612800335872',
2820,Elena Fanaĭlova,Елена Фанайлова,0,Experimental / avant-garde poetry,136,8526148,Q648577
3737,Sergeĭ Zavʹi͡alov,Сергей Завьялов,0,Experimental / avant-garde poetry,136,'48146634465441931264',Q4183347
2213,Ekaterina Zakharkiva,Екатерина Захаркива,0,Experimental / avant-garde poetry,126,,
403,Alena Solnt͡seva,Алена Солнцева,0,Experimental / avant-garde poetry,121,'4158003676501879808',
1885,Dmitriĭ Vodennikov,Дмитрий Воденников,0,Experimental / avant-garde poetry,116,235962176,Q4113942
1632,Kirill Medvedev,Кирилл Медведев,0,Experimental / avant-garde poetry,115,263963935,Q4287293
2320,Ėduard Lukoi͡anov,Эдуард Лукоянов,0,Experimental / avant-garde poetry,110,'113148207838300340224',
5245,Oksana Vasi͡akina,Оксана Васякина,0,Experimental / avant-garde poetry,107,'9158628084422921216',Q65125597
2138,Anna Hlazova,Анна Глазова,0,Experimental / avant-garde poetry,105,68303850,Q4139447
2199,Andreĭ Silʹvestrov,Андрей Сильвестров,0,Experimental / avant-garde poetry,98,'80146331757818691584',Q16697664
2206,Ekaterina Troepolʹskai͡a,Екатерина Троепольская,0,Experimental / avant-garde poetry,96,308768795,
4363,Ilʹi͡a Kukulin,Илья Кукулин,0,Experimental / avant-garde poetry,96,163773931,Q4245868
2607,Dzhonatan Platt,Джонатан Платт,0,Experimental / avant-garde poetry,94,'121146331870618697728',
